# Seamount Catalog from Wessel, P., J. Geophys. Res., 106 (B9), 19,431-19,441, 2001"
#
# This file contains ~15,000 seamounts from all the world's ocean basins.
# The columns are:
# Col 1: Longitude (0/360). Center of each seamount (in degrees)
# Col 2: Latitude (-90/+90). Center of each seamount (in degrees)
# Col 3: Maximum amplitude of the Free Air Gravity Anomaly (in mGal)
# Col 4: Maximum amplitude of the Vertical Gravity Gradient Anomaly (in Eotvos)
# Col 5: Modelled zero-crossing radius (where VGG first goes -ve) (in km)
# Col 6: Modelled seamount radius (in km)
# Col 7: Modelled seamount height (in m)
# Col 8: Age of underlying seafloor [from Mueller et al grid] (in Myr)
# For explanation of modeling see the JGR paper and references therein.
#
# The file is a GMT multi-segment file where each segment contains the seamount
# belonging to one tectonic plate, sorted from largest to smallest VGG.  Some plates
# (e.g., the Phillipine Sea Plate) have no seamounts detectable by the
# characterization method used.  When plotting this file with GMT, remember
# to use the -M flag.
# 
# Longitude	Latitude	FAA	VGG	Rcross	Radius	Height	CrustAge
> Africa plate    1844 seamounts
  0.68333	 -9.51667	116.7	129.4	16.31	 21.41	3200	 82.2
 61.68330	-19.45000	152.5	129.1	25.68	 36.58	3200	 28.9
347.30000	 31.03330	109.5	129.1	19.93	 28.58	2500	169.2
  6.01667	-20.01670	101.2	128.8	16.16	 14.43	6500	 94.5
 58.61670	-17.21670	129.8	128.8	21.93	 32.00	2800	 57.4
  4.88333	 -2.28333	120.3	128.7	20.61	 29.72	2600	102.1
339.85000	  8.78333	111.9	128.5	17.26	 23.66	2800	101.1
359.51700	-33.21670	170.2	128.4	29.70	 41.15	3600	 77.0
  0.78333	 -8.18333	112.6	128.4	17.35	 23.66	2800	 78.4
 50.15000	  2.81667	133.8	127.7	24.77	 33.15	2900	121.3
  2.31667	-41.38330	143.5	127.7	19.63	 30.47	2800	 77.2
 54.75830	  6.64167	111.6	127.4	26.85	 33.15	2900	 38.2
 43.21670	-34.50000	152.1	127.3	22.77	 34.29	3000	 77.8
  1.85000	 -3.15000	 87.9	127.0	14.98	 15.77	4300	 78.8
359.60000	 -6.76667	120.6	126.9	22.81	 30.86	2700	 74.2
323.85000	 15.88330	111.7	126.6	18.10	 25.82	2600	 68.3
  0.91667	-34.00000	139.8	126.5	19.62	 30.86	2700	 80.4
346.26700	 29.06670	206.0	126.2	25.99	 41.15	3600	175.9
358.75000	-43.55000	236.7	126.1	31.45	 48.01	4200	 53.9
354.98300	-34.48330	137.3	126.0	20.34	 30.86	2700	 51.9
  9.41667	-48.41670	142.7	125.9	16.15	 23.51	3200	 89.6
 52.91670	  4.40000	128.6	125.9	26.53	 34.29	3000	  0.0
329.95000	 34.41670	106.7	125.7	18.64	 27.21	2500	 35.3
 47.05000	-10.45000	 90.0	125.4	14.88	 15.77	4300	157.4
 50.48330	 -7.75000	 95.3	125.3	17.73	 23.74	2600	 74.6
343.08300	  8.81667	 83.7	125.3	13.38	 15.57	4100	  0.0
336.98300	 16.11670	208.4	125.0	24.03	 40.01	3500	136.8
  0.68333	-31.60000	137.9	125.0	23.50	 33.15	2900	 80.5
354.05000	-39.58330	176.9	124.6	26.13	 38.86	3400	 45.9
353.88300	-46.55000	133.0	124.5	15.81	 15.18	7000	 18.4
353.78300	-40.55000	115.1	124.5	13.48	 16.51	4500	 43.0
336.75000	  6.01667	 84.6	124.5	15.33	 15.60	4400	 58.7
 10.55000	-46.85000	125.8	124.0	15.94	 14.97	6900	 81.9
336.23300	 15.16670	193.8	123.8	23.80	 37.72	3300	129.2
329.40000	 34.56670	108.7	123.8	19.21	 27.21	2500	 31.8
330.51700	 17.31670	 89.8	123.5	15.81	 15.08	4900	 99.9
330.98300	 29.68330	128.4	123.3	14.72	 15.05	6700	 84.4
338.01700	  6.95000	128.9	123.2	28.25	 35.43	3100	 71.2
337.38300	  6.35000	104.1	123.2	21.19	 28.58	2500	 66.0
 51.05000	 -8.78333	 91.8	123.0	23.58	 28.58	2500	 77.6
347.68300	-37.08330	137.1	123.0	17.65	 26.64	2800	 21.9
344.65000	 27.88330	212.0	123.0	30.97	 45.72	4000	170.9
355.71700	-37.31670	102.2	122.8	13.33	 16.05	4300	 53.8
332.50000	 34.90000	118.3	122.8	17.80	 25.69	2700	 51.3
358.33300	-43.98330	184.5	122.7	30.60	 42.29	3700	 50.7
356.58300	-13.11670	102.4	122.7	16.43	 21.31	2900	 53.4
 59.05000	-17.81670	 96.9	122.3	23.75	 29.72	2600	 57.2
  2.91667	 -3.98333	 90.8	122.2	15.28	 15.77	4300	 91.5
  1.11667	 -6.08333	116.2	122.2	20.23	 28.58	2500	 80.9
333.75000	 25.85000	118.7	122.1	19.70	 28.58	2500	109.1
343.35000	 32.75000	168.5	121.9	17.16	 28.31	3100	136.6
331.08300	 31.41670	153.5	121.7	22.21	 33.15	2900	 73.1
335.75000	 15.01670	163.2	121.6	23.56	 35.43	3100	124.6
  1.24167	 -5.54167	108.7	121.1	20.04	 28.58	2500	 82.0
 41.38330	-39.41670	122.0	121.0	16.79	 23.66	2800	 50.5
 58.05000	-18.35000	150.5	120.6	48.24	 56.01	4900	 60.7
359.05000	-35.75000	109.6	120.5	14.42	 16.42	4400	 72.5
336.98300	  6.45000	104.6	120.5	20.72	 28.58	2500	 64.7
356.08300	-34.45000	149.5	120.2	21.75	 33.15	2900	 59.8
337.35000	 16.15000	195.7	119.3	22.94	 37.72	3300	139.6
  1.21667	-41.88330	186.4	119.2	23.53	 36.58	3200	 72.7
 53.08330	 -8.41667	125.8	119.0	25.67	 33.15	2900	 63.7
347.21700	-37.28330	124.6	118.8	17.69	 25.69	2700	 20.3
358.45000	-34.21670	137.4	118.7	17.63	 26.64	2800	 72.4
 57.51670	-19.01670	191.8	118.5	24.77	 38.86	3400	 60.4
334.43300	 17.30000	145.6	118.4	22.93	 33.15	2900	116.4
 57.71670	-19.65000	154.2	118.2	26.68	 36.58	3200	 58.0
359.95000	 -6.85000	 87.8	118.2	15.22	 15.51	4300	 75.6
354.86700	-12.46670	103.8	118.2	21.21	 28.58	2500	 52.9
350.98300	-16.41670	 82.6	118.2	13.56	 15.30	4100	 24.2
356.91700	-37.41670	109.1	117.8	13.79	 16.14	4400	 59.7
352.65000	-36.95000	105.6	117.8	17.55	 24.83	2500	 38.4
354.61700	-43.88330	110.9	117.6	14.59	 15.04	5400	 40.0
353.18300	-39.98330	 91.8	117.4	13.24	 15.57	4100	 41.6
358.11700	-34.08330	116.8	117.2	17.41	 24.74	2600	 71.4
352.48300	-13.75000	 94.5	117.2	16.43	 20.57	2800	 33.9
 53.13330	  4.61667	123.0	116.9	24.64	 32.00	2800	  0.0
334.91700	 16.88330	203.8	116.8	22.62	 37.72	3300	118.7
358.61700	-42.31670	227.0	116.6	25.41	 42.29	3700	 61.8
 58.21670	-19.38330	125.8	116.4	24.33	 32.00	2800	 56.1
339.21700	  7.85000	112.7	116.2	22.97	 29.72	2600	 89.4
  1.81667	-31.15000	 80.4	116.1	14.03	 15.19	4000	 85.2
 40.38330	-22.31670	109.6	116.0	17.48	 24.83	2500	139.1
351.95000	-39.35000	134.6	115.7	15.83	 22.79	3000	 36.8
 44.31670	-12.25000	155.1	115.4	28.04	 37.72	3300	145.2
345.45000	 36.31670	101.6	115.4	14.02	 15.77	4300	134.3
331.61700	 33.98330	109.9	115.1	17.98	 26.12	2400	 56.2
338.41700	  6.95000	113.3	114.5	26.26	 32.00	2800	 73.4
336.65000	  6.88333	 87.6	114.2	18.53	 25.15	2200	 62.8
  4.15000	 -5.21667	 82.0	114.1	15.06	 15.47	4000	 98.1
338.48300	  8.28333	 78.3	114.0	14.56	 15.19	4000	 91.8
359.55000	 -7.25000	 73.6	113.9	14.91	 14.93	4000	 74.0
 55.35000	-21.31670	185.6	113.8	30.52	 42.29	3700	 61.3
  6.51667	-27.85000	 90.7	113.7	12.54	 15.30	4100	101.6
 54.68330	  8.35000	 88.6	113.7	14.17	 15.30	4100	  0.0
  8.45000	  3.41667	136.0	113.6	29.83	 37.72	3300	109.2
356.35000	-32.11670	139.5	113.6	22.49	 32.00	2800	 49.9
 53.18330	  8.38333	 79.2	113.5	13.91	 14.93	4000	  0.0
 55.21670	-20.98330	203.2	113.4	30.42	 43.43	3800	 62.6
  0.45000	-45.35000	134.1	113.4	18.58	 28.30	2600	 46.2
 55.01670	 -0.28333	 80.4	113.3	14.49	 15.19	4000	 58.5
 13.45000	-38.75830	163.1	113.3	35.20	 44.58	3900	110.7
 53.05000	 -6.15000	142.3	112.9	24.36	 33.15	2900	 66.3
339.65000	 25.95000	104.8	112.9	18.63	 26.12	2400	148.1
330.98300	 33.21670	119.6	112.7	21.92	 29.72	2600	 54.0
  9.65000	-19.68330	 91.3	112.5	15.82	 13.45	6200	  0.0
 63.65000	-19.73330	103.5	112.5	22.38	 28.58	2500	 11.1
344.45000	 35.28330	142.4	112.5	23.11	 32.00	2800	131.2
